,id,term,vote
12,13,abidjan,3
81,82,aden,3
136,137,agassi,4
208,209,alberto,3
276,277,american,2
310,311,andr,3
385,386,appoint,3
404,405,arabia,2
473,474,ashcroft,3
520,521,attack,3
545,546,australian,3
625,626,ballot,3
651,652,barent,3
694,695,beat,3
721,722,belgrad,3
763,764,bhuj,3
784,785,bin,2
820,821,blast,2
857,858,boat,3
860,861,bodi,2
871,872,bomb,3
881,882,bone,3
955,956,bribe,3
1040,1041,buri,3
1057,1058,businessman,3
1101,1102,campaign,3
1108,1109,cancer,3
1109,1110,candid,2
1131,1132,capriati,2
1155,1156,carnahan,4
1245,1246,champion,3
1337,1338,christma,3
1410,1411,clinton,3
1438,1439,coast,3
1467,1468,cole,3
1585,1586,congress,3
1656,1657,convict,3
1691,1692,corrupt,3
1720,1721,court,2
1748,1749,crash,3
1915,1916,davenport,3
1979,1980,defeat,2
2024,2025,democrat,3
2074,2075,destroy,3
2237,2238,diver,3
2380,2381,earthquak,3
2387,2388,east,2
2405,2406,edmond,3
2406,2407,edmund,2
2437,2438,elect,3
2573,2574,escap,3
2605,2606,eve,3
2683,2684,explos,3
2770,2771,fbi,2
3068,3069,fujimori,4
3110,3111,game,3
3140,3141,gbagbo,4
3226,3227,gov,3
3228,3229,govern,2
3233,3234,governor,3
3247,3248,grand,3
3326,3327,guei,3
3339,3340,gujarat,3
3341,3342,gulf,2
3409,3410,hanoi,3
3417,3418,harbor,2
3571,3572,hingi,3
3836,3837,india,3
3837,3838,indian,3
3889,3890,inmat,3
3969,3970,investig,3
4021,4022,ivori,3
4055,4056,japan,3
4060,4061,jean,3
4104,4105,john,3
4220,4221,kill,2
4266,4267,kosovo,3
4267,4268,kostunica,3
4281,4282,kursk,4
4295,4296,laden,2
4359,4360,laurent,3
4382,4383,leader,3
4470,4471,lima,3
4479,4480,lindsay,3
4741,4742,martina,3
4760,4761,match,3
4821,4822,mel,3
4914,4915,militari,2
4918,4919,milken,2
4927,4928,milosev,4
4977,4978,missouri,3
5029,5030,montesino,4
5051,5052,moscow,3
5171,5172,navi,3
5329,5330,nuclear,3
5430,5431,open,2
5440,5441,opposit,3
5473,5474,osama,2
5480,5481,ouattara,4
5594,5595,paniagua,3
5611,5612,pardon,3
5618,5619,parliament,3
5622,5623,parti,2
5686,5687,peltier,2
5701,5702,pentagon,3
5702,5703,peopl,2
5726,5727,persian,2
5734,5735,peru,3
5735,5736,peruvian,3
5811,5812,plane,2
5822,5823,play,3
5823,5824,player,3
5862,5863,polic,2
5868,5869,polit,2
5889,5890,pope,4
5896,5897,port,3
5938,5939,power,2
5984,5985,presid,3
5987,5988,presidenti,2
6014,6015,prison,3
6134,6135,putin,3
6141,6142,quak,3
6193,6194,race,3
6377,6378,refuel,3
6476,6477,republican,3
6483,6484,rescu,3
6484,6485,rescuer,3
6493,6494,resign,3
6622,6623,robberi,3
6696,6697,rubbl,3
6706,6707,rule,3
6727,6728,russia,3
6728,6729,russian,3
6763,6764,sailor,3
6780,6781,salvador,4
6787,6788,sampra,2
6823,6824,saudi,2
6836,6837,scandal,3
6885,6886,sea,2
6898,6899,seat,3
6930,6931,seed,3
6962,6963,senat,3
6973,6974,sentenc,3
6980,6981,serb,3
6982,6983,serbia,3
6983,6984,serbian,3
7003,7004,seven,3
7073,7074,ship,3
7211,7212,slam,3
7237,7238,slobodan,3
7392,7393,spi,3
7414,7415,sport,3
7578,7579,street,2
7634,7635,submarin,4
7665,7666,suicid,3
7719,7720,survivor,3
7724,7725,suspect,2
7883,7884,tenni,3
7902,7903,terror,2
7903,7904,terrorist,3
7912,7913,texa,3
8024,8025,titl,3
8072,8073,torpedo,3
8086,8087,tournament,3
8234,8235,u.s.,2
8447,8448,uss,3
8468,8469,valentin,3
8505,8506,venu,3
8532,8533,victori,2
8536,8537,vietnam,4
8537,8538,vietnames,3
8582,8583,vladimir,2
8583,8584,vladimiro,3
8591,8592,vojislav,3
8600,8601,vote,3
8639,8640,war,2
8659,8660,warship,2
8751,8752,widow,3
8757,8758,william,2
8763,8764,win,3
8767,8768,winner,3
8871,8872,yemen,3
8872,8873,yemeni,3
8891,8892,yugoslav,3
8892,8893,yugoslavia,3
